IMDbID,Genre,Released,Title,IMDbRating,Type,Synopsis,ImageURL
tt4598720,"['Drama', 'Mystery', 'Thriller']",2016,Glass,8.2,movie,"""Glass"" Is a film about a young man, Atlas, and his continuous struggle with early-onset Alzheimer's. Seen through his eyes, his life is a puzzle he desperately tries to piece together. His...","['https://m.media-amazon.com/images/M/MV5BNTI1YTczMGEtMjI4MC00MmY5LTgxNTEtM2Y4NjA1YmI5ZGQ4XkEyXkFqcGdeQXVyNTM3OTE5NjE@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt3155936,"['Drama', 'Horror', 'Thriller']",2016,No Reasons,8.2,movie,"A missing girl, gangsters, a terrible secret, and a heavy body count. The British soap opera genre just got nasty.","['https://m.media-amazon.com/images/M/MV5BN2FlZmNiN2YtOTdhNS00YmFhLWI4NmEtMWU3NTdiZWIzOWIzXkEyXkFqcGdeQXVyMjIxNTk2MjQ@._V1_UY268_CR4,0,182,268_AL_.jpg']"
tt4280462,['Thriller'],2015,JFK.The Badge Man Conspiracy,8.2,tvMovie,"The Grassy Knoll Badgeman assassin holds his former shadowy employers to ransom with classified documents in his possession, exposing the hidden truth behind the assassination in 1963 Dallas, Texas, of the 35th President of the United States, John Fitzgerald Kennedy.","['https://m.media-amazon.com/images/M/MV5BMTYyMjcyMTM3OV5BMl5BanBnXkFtZTgwMDg3MTQxNTE@._V1_UY268_CR10,0,182,268_AL_.jpg']"
tt9381742,['Thriller'],2018,Hellbound,8.1,movie,"Ben Winston's feature film debut about two reckless bikers on a provocative, nightmarish journey through the mountains. Shot entirely on black and white 16mm film. It invokes the aesthetic of the classic films of the 1970s.","['https://m.media-amazon.com/images/M/MV5BMjJhMWMxYTYtNTZiZi00ZDAyLWExMDMtY2ZjYzg5NmVhMTE1XkEyXkFqcGdeQXVyMjI1MzgxNzk@._V1_UY268_CR12,0,182,268_AL_.jpg']"
tt7912470,"['Drama', 'Thriller']",2018,Deception: Oo Pel Dan Myin,8.1,movie,"Min Htet possesses a perfect life which will be envied by a lot. He is rich; owns a gallery and in addition to all that, has a beautiful wife called Zin Mar. He is the epitome of happiness ...","['https://m.media-amazon.com/images/M/MV5BNTJmYzViMzktZThhNi00ZjAxLWI4YjUtMWI1MDQ5NjcyYWVmXkEyXkFqcGdeQXVyODQ2OTYzOTA@._V1_UY268_CR43,0,182,268_AL_.jpg']"
tt6217512,"['Action', 'Drama', 'Thriller']",2018,Fight!,8.1,movie,A struggling writer pens a best seller about a single mother struggling to support her family by getting caught up in the world of underground bare knuckle fighting while her 14 year old adopted daughter searches for her estranged mother.,"['https://m.media-amazon.com/images/M/MV5BMDViZmY5MjYtOGY5NS00YzdlLWE2MTMtNTMxNzc3MWI0N2RkXkEyXkFqcGdeQXVyNjMzNjEyMTY@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt8063542,"['Sci-Fi', 'Thriller']",2018,Orthus,8.1,tvMovie,A ruthless hitman and an FBI agent share a shocking connection that they must keep secret -- no matter what the cost.,"['https://m.media-amazon.com/images/M/MV5BNGMxOWI4MGMtYzM5Ni00YmZlLWFhYmMtY2E5OTg2OTE5ZjFkXkEyXkFqcGdeQXVyNjI3NzU5MzQ@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt3700566,"['Drama', 'Thriller']",2017,Hi-Lo Joe,8.1,movie,"Everyone loves Joe Ridley, except Joe. Dark, crushing depression envelops him and a childhood trauma haunts him. Elly loves him but he is pushing her away. Can he save himself before he loses everything?","['https://m.media-amazon.com/images/M/MV5BMjlhNDQxODAtM2MwZS00NjAwLTlmMGMtMmU2MDk1YjNlMTQ1XkEyXkFqcGdeQXVyNTMwNzY2MzM@._V1_UY268_CR2,0,182,268_AL_.jpg']"
tt7108046,['Thriller'],2017,The People's Network Showcase: Suspense Edition,8.1,tvMovie,"Host Mike Escamilla, from the racing competition series ""Baja Desert Championship"" and bicycle motocross professional, presents a two-hour special where he showcases a number of suspenseful and teeth-clenching short films.","['https://m.media-amazon.com/images/M/MV5BMTFiM2RjM2UtMDkyNy00ZTU5LTkxODUtNjE4NWRkMTkzMmI2XkEyXkFqcGdeQXVyOTQ0NzQ5MA@@._V1_UY268_CR43,0,182,268_AL_.jpg']"
tt6219800,"['Drama', 'Horror', 'Thriller']",2016,Mortem,8.1,movie,"As Anton rents the house near Moscow from his employer, he starts to noticing suspicious activity. Suspecting a theft, he borrows a video camera to film some evidence, but evidence turns out to be of something else then an ordinary thief.","['https://m.media-amazon.com/images/M/MV5BMGY5M2E4MGQtZjZmNS00MTlmLTk4MjMtMTNiMTUwM2Q2ZjczXkEyXkFqcGdeQXVyMTE4NzcwOTM4._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt5571734,"['Drama', 'Thriller']",2016,Pink,8.1,movie,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.","['https://m.media-amazon.com/images/M/MV5BNGI1MTI1YTQtY2QwYi00YzUzLTg3NWYtNzExZDlhOTZmZWU0XkEyXkFqcGdeQXVyMDkwNTkwNg@@._V1_UY268_CR9,0,182,268_AL_.jpg']"
tt3170832,"['Drama', 'Thriller']",2015,Room,8.1,movie,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","['https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt2450056,"['Crime', 'Romance', 'Thriller']",2015,"Charlie, Trevor and a Girl Savannah",8.1,movie,Charlie Trevor and a girl Savannah is a thought provoking action/thriller about reality verses the dream state. Trevor has been having nightmares about his girlfriend Savannah. He begins to...,"['https://m.media-amazon.com/images/M/MV5BMTY1NzU4NjI1Nl5BMl5BanBnXkFtZTgwODMwMjk4NTE@._V1_UY268_CR43,0,182,268_AL_.jpg']"
tt7143598,"['Sci-Fi', 'Thriller']",2020,The Arbors,8,movie,"Set against a dreary small town, ""The Arbors"" follows Ethan Daunes, a reclusive locksmith struggling to keep ties with his younger brother, Shane. Ethan's life takes an unsettling turn ...","['https://m.media-amazon.com/images/M/MV5BODg2ZWZiNTEtYTI5ZS00YzA1LTg1NmQtNWEzNTQ4ZTQwODI1XkEyXkFqcGdeQXVyMjY1OTc1MzQ@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt12345596,['Thriller'],2020,Anthropocene,8,movie,"Claire, a lone girl treks the new, dangerous wasteland, ravaged by famine and a virus, in search of food and clean water.","['https://m.media-amazon.com/images/M/MV5BNjI1YzZlNDMtNWEzZi00ODlmLWIyMGUtYzllNzM5NWE3YTM4XkEyXkFqcGdeQXVyMjg5OTIxODA@._V1_UY268_CR16,0,182,268_AL_.jpg']"
tt9330502,['Thriller'],2019,It Wants Blood!,8,movie,,"['https://m.media-amazon.com/images/M/MV5BZjdjM2NmNmUtZDU2Yy00MTAzLTgyYTUtYWJkNzU1NjcxMTVlXkEyXkFqcGdeQXVyMjMwNjIxMTY@._V1_UY268_CR13,0,182,268_AL_.jpg']"
tt7639446,"['Crime', 'Mystery', 'Thriller']",2019,The Pickup Artist,8,movie,The Curious Case of Missing Girls Investigated by a Maniac Cop.,"['https://m.media-amazon.com/images/M/MV5BYTM0YjgzODYtZWRlMC00M2IzLTgxMjYtZWU4MmU5YzdkYjQ3XkEyXkFqcGdeQXVyODY3MTczOTQ@._V1_UY268_CR3,0,182,268_AL_.jpg']"
tt7466768,"['Drama', 'Thriller']",2019,Collision at Split Rock,8,movie,"Two brothers haunted by a dark memory, on the cusp of madness, rival for the affections of a beautiful woman. They yearn to expose a secret better left buried, for which a killer will go to any lengths to leave concealed.","['https://m.media-amazon.com/images/M/MV5BMGYyNTk1ZTUtMTgzNS00ZDEwLWFlZmYtMWQ1NWNhYWU3OGExXkEyXkFqcGdeQXVyNjQyNjYxNjg@._V1_UX182_CR0,0,182,268_AL_.jpg']"
